userId,movieId,rating,timestamp,label
285,2605,3.0,974036328,0
24,897,4.0,963472695,1
607,4016,4.0,979339130,1
219,3981,2.0,1011718777,0
203,546,2.0,955137146,0
228,880,3.0,1141170661,0
590,97921,5.0,1403725269,1
567,3300,2.0,1129697531,0
402,34150,2.5,1172698946,0
603,2,3.0,860499905,0
128,2716,4.0,1262158415,1
439,1233,5.0,864847517,1
451,1199,5.0,1130495208,1
530,2202,3.0,1076730122,0
62,1961,3.5,1268779900,0
575,50,4.0,1020118365,1
451,76,3.5,1131361015,0
192,56274,1.0,1219087843,0
575,2946,4.0,963750438,1
224,50794,2.5,1425335872,0
574,99149,3.0,1362802370,0
475,5033,3.0,1305332000,0
458,2717,2.0,975732247,0
110,3751,5.0,992250715,1
295,296,4.0,837884511,1
280,1210,5.0,944897212,1
627,2021,3.0,1237930401,0
69,7387,3.5,1121284622,0
657,261,1.0,1243036648,0
475,112183,3.5,1422044824,0
232,288,4.5,1307342647,1
628,1196,4.5,1112468020,1
611,3435,4.0,1368125805,1
232,53953,4.5,1277372463,1
590,1200,4.5,1243371173,1
73,1912,5.0,945886302,1
568,307,4.0,1142790608,1
412,110,4.0,1415279156,1
605,2174,3.0,955376612,0
48,529,5.0,1081162500,1
328,6502,4.0,1223426161,1
366,708,4.0,1084996680,1
422,3844,4.5,1074650971,1
168,3578,4.5,1159239159,1
403,31804,4.0,1222302750,1
665,63853,4.0,1231675203,1
365,3334,4.0,1062894069,1
402,3869,3.0,1172479750,0
668,4975,2.0,1071772922,0
668,2973,2.5,1092028751,0
530,1711,4.0,945143848,1
63,46974,2.0,1300030586,0
668,58576,1.0,1381073305,0
224,4018,4.0,1428127692,1
543,4690,4.0,995889542,1
89,500,2.0,1328925256,0
586,541,4.5,1397065593,1
62,1235,4.0,1267424967,1
532,61240,5.0,1440345771,1
250,5618,4.5,1107162296,1
506,1240,3.5,1175243458,0
640,18,5.0,860492343,1
83,79132,5.0,1418842179,1
241,5507,5.0,1446671175,1
192,3113,4.0,1002210633,1
475,153,3.0,1305329414,0
668,117456,2.5,1431274219,0
77,4973,4.5,1085081139,1
627,6503,1.5,1237991410,0
628,3683,4.5,1112472604,1
328,1,5.0,1237950888,1
250,2716,4.0,1107160997,1
668,61350,2.0,1246334069,0
44,1375,1.5,1225237748,0
597,1031,4.0,965118914,1
319,31367,5.0,1413898735,1
427,68954,3.0,1329765780,0
194,65585,3.0,1364053264,0
235,2701,2.0,953677160,0
228,2541,2.5,1141170483,0
139,3538,3.5,1095888238,0
668,53123,2.0,1199287562,0
575,1082,3.0,939927352,0
118,3489,3.0,1045086201,0
69,527,4.0,1121089189,1
167,49272,5.0,1446588418,1
69,6987,3.0,1121089379,0
529,68358,4.5,1260118907,1
140,1639,4.0,895849529,1
296,3704,3.0,1085799991,0
615,2817,3.0,955127478,0
232,1702,3.5,1277842645,0
89,1527,4.0,1328925385,1
516,2432,5.0,1001471089,1
128,3328,3.5,1262378345,0
485,6040,2.0,1058174390,0
173,431,4.0,954597026,1
128,61262,3.5,1269291378,0
461,32587,4.5,1179854167,1
512,1962,2.0,1254429853,0
284,708,5.0,855582347,1
599,66427,4.0,1424825955,1
480,3448,3.5,1136461858,0
535,49272,4.0,1432618789,1
203,1225,5.0,955136455,1
303,3022,4.0,975172034,1
192,3147,4.5,1077120473,1
268,1088,1.5,1227217377,0
411,50,5.0,833711535,1
668,2937,4.0,1025850931,1
665,52245,3.5,1231678856,0
85,318,5.0,1400699802,1
662,1527,4.0,945176143,1
442,300,4.0,840555588,1
213,930,4.5,1111502375,1
668,1680,2.5,1211150996,0
564,1500,4.0,957925604,1
557,7153,4.0,1284927371,1
213,33679,3.0,1129880905,0
38,1707,1.5,1409803976,0
657,8261,2.5,1243037154,0
310,1208,3.5,1092863586,0
575,81158,3.0,1296745016,0
177,1268,3.0,1074053731,0
659,80549,2.5,1394644491,0
164,64034,5.0,1440814936,1
320,6586,1.0,1061951121,0
575,6807,3.0,1252961741,0
60,7028,4.0,1162941511,1
250,1967,4.0,1107162414,1
628,2987,3.5,1112465700,0
478,356,4.5,1242657916,1
357,1513,2.0,951239628,0
460,1580,3.5,1130277616,0
458,2306,2.0,953243400,0
250,1219,4.0,1107161301,1
174,471,4.0,1276658478,1
106,108932,4.0,1440861436,1
413,4232,4.0,1317255087,1
531,8360,4.5,1447687957,1
314,115149,3.5,1448467377,0
461,1396,4.0,1193030987,1
254,1483,4.0,1354258362,1
491,150,4.0,839301822,1
484,2194,3.0,1308768724,0
301,2329,4.5,1317056949,1
440,1246,4.0,962687093,1
245,454,3.0,834948284,0
62,2122,2.0,1267577278,0
555,293,5.0,875312541,1
45,1676,2.5,1149373104,0
354,48,2.0,965328247,0
590,541,3.0,1336063644,0
507,743,3.0,848405245,0
402,45431,3.5,1172477004,0
563,1961,4.5,1112209420,1
484,59369,4.0,1308767985,1
310,6777,4.0,1222524784,1
121,2671,5.0,944957675,1
96,1,5.0,857048677,1
137,64034,4.0,1277658162,1
194,4234,2.5,1364051929,0
130,2122,2.0,941900641,0
22,2078,3.0,1111573877,0
358,1682,5.0,1408188767,1
22,3624,1.5,1111576232,0
429,3977,5.0,993082743,1
157,1320,1.0,916673232,0
460,4677,4.0,1130308156,1
160,196,3.0,902696721,0
544,1307,4.0,945033905,1
260,364,3.0,847822657,0
576,104441,3.5,1446943978,0
605,1094,4.0,954089621,1
326,555,3.0,844184345,0
128,532,2.5,1262156460,0
512,54001,4.0,1254432049,1
213,1032,4.0,1112243134,1
555,1193,5.0,875312138,1
279,3260,1.0,965499477,0
322,1206,1.0,1030116267,0
614,89745,5.0,1416813073,1
458,1617,5.0,953240057,1
175,2971,5.0,974835436,1
575,67997,2.5,1263923491,0
348,858,3.0,1311170518,0
392,356,3.0,1281451858,0
521,5010,4.0,1351089076,1
414,527,4.0,1032191147,1
352,5636,3.0,1051979454,0
241,4235,5.0,1446671118,1
220,8341,3.5,1111498444,0
668,5527,2.0,1072560646,0
308,4973,4.0,1233208464,1
130,24,1.0,996626318,0
628,3809,3.0,1112466070,0
387,520,4.5,1301317439,1
369,1912,4.0,951020554,1
399,1627,3.0,945154077,0
54,1032,3.5,1146966223,0
405,68358,4.5,1296441484,1
410,2133,3.5,1133451165,0
413,114760,3.5,1428103875,0
353,317,3.0,844639778,0
569,46530,1.5,1245982649,0
123,585,3.5,1155480426,0
218,5502,4.0,1258390735,1
44,541,4.5,1225238909,1
354,7451,3.5,1131399658,0
546,3247,4.0,1036015857,1
240,2195,5.0,1007877448,1
283,1333,3.0,868266803,0
619,5225,4.5,1445257356,1
369,3263,4.0,953444155,1
122,4148,2.0,1024805856,0
506,590,3.5,1175243282,0
458,1913,4.0,938853043,1
251,1367,4.0,1363372900,1
540,485,2.0,1241713492,0
188,372,4.0,879101941,1
147,3882,5.0,986111365,1
403,2291,4.0,1222682336,1
128,2860,4.0,1269626063,1
387,1370,4.0,1369600742,1
668,2209,3.0,1262040100,0
299,81591,5.0,1308599703,1
