userId,movieId,rating,timestamp,label,user_idx,movie_idx
655,4616,4.5,1255634376,1,654,3580
563,1201,5.0,1112206939,1,562,956
666,608,5.0,1021279715,1,665,532
283,849,2.0,868266694,0,282,685
69,608,5.0,1121283829,1,68,532
268,6881,2.5,1227220147,0,267,4955
575,77561,3.5,1288016185,0,574,8388
655,2355,4.5,1255790643,1,654,1856
607,2161,4.0,974784341,1,606,1707
668,4719,1.0,1028257465,0,667,3662
255,31035,3.5,1174422806,0,254,6339
232,55620,3.5,1296441743,0,231,7403
413,48385,4.0,1235303402,1,412,7036
443,1370,3.0,915225198,0,442,1103
560,2469,3.5,1069089682,0,559,1964
410,1947,3.0,1057437631,0,409,1504
410,2928,3.5,1137952173,0,409,2325
128,743,4.0,1262123139,1,127,620
584,2762,4.0,944922579,1,583,2197
32,1298,3.0,903794284,0,31,1049
665,60397,2.0,1231679011,0,664,7652
160,1387,5.0,902696937,1,159,1118
485,589,2.0,1057482629,0,484,517
387,592,3.5,1334964206,0,386,519
24,2467,2.0,963467726,0,23,1962
369,1247,4.0,953444119,1,368,999
668,2288,3.5,1345437608,0,667,1800
668,2971,2.0,1025850565,0,667,2360
107,293,4.0,958159753,1,106,255
399,1639,3.0,945152783,0,398,1301
185,4701,5.0,1099686545,1,184,3648
493,2302,4.5,1249575884,1,492,1811
69,8600,3.5,1121089068,0,68,5635
607,3897,5.0,1009607709,1,606,3051
469,20,3.0,865533692,0,468,19
128,1197,4.0,1300179889,1,127,952
622,8636,4.0,1447965639,1,621,5656
281,858,3.0,992331344,0,280,690
63,2410,3.0,1299619733,0,62,1909
575,6378,3.0,1054478774,0,574,4656
627,1552,2.5,1237941408,0,626,1241
111,588,4.0,847916505,1,110,516
668,40478,1.5,1333837128,0,667,6706
443,1130,4.0,915226664,1,442,910
497,1370,4.5,1096453056,1,496,1103
447,92259,3.0,1444585196,0,446,9098
189,260,4.5,1170027186,1,188,227
148,480,3.0,837259413,0,147,422
88,2997,5.0,1040308040,1,87,2381
637,3997,3.0,983920236,0,636,3127
224,4545,3.0,1390080448,0,223,3523
601,1273,5.0,938946170,1,600,1025
444,173,4.0,833531605,1,443,148
493,2012,2.5,1218333384,0,492,1565
458,2278,4.0,1107973970,1,457,1792
128,2060,3.0,1291920396,0,127,1611
188,1213,5.0,879097924,1,187,967
238,2146,3.5,1082122459,0,237,1693
232,6338,3.0,1277956232,0,231,4634
616,3863,3.0,1259845117,0,615,3031
668,3734,3.0,1026443193,0,667,2931
436,265,5.0,837694031,1,435,231
130,2014,1.0,941904491,0,129,1567
499,8798,4.0,1278288766,1,498,5729
475,8370,3.5,1305325975,0,474,5560
390,21,4.0,828803826,1,389,20
413,293,3.5,1305335098,0,412,255
647,102123,2.0,1451787219,0,646,9473
599,57640,5.0,1424813330,1,598,7491
562,2001,4.0,953422366,1,561,1555
286,112552,4.5,1437596547,1,285,9807
296,5445,3.5,1085799146,0,295,4128
228,196,3.5,1141171002,0,227,169
475,110102,3.0,1395942155,0,474,9739
173,431,4.0,954597026,1,172,376
297,3070,2.5,1186149487,0,296,2440
60,1261,2.0,1162942198,0,59,1013
163,2628,3.5,1170086681,0,162,2087
521,5679,4.0,1351088927,1,520,4271
29,541,4.0,846942870,1,28,480
192,1084,4.0,1002133720,1,191,874
668,7018,3.0,1071265761,0,667,5046
278,3114,4.5,1341360039,1,277,2480
238,5694,3.0,1082122408,0,237,4283
668,193,1.0,1029005412,0,667,166
223,1300,5.0,948941009,1,222,1051
668,3201,2.0,1025890526,0,667,2543
668,1258,4.0,1025851276,1,667,1010
192,2369,4.0,1002210565,1,191,1870
71,4306,5.0,1063750001,1,70,3352
575,292,3.0,939812963,0,574,254
668,27408,2.5,1157315877,0,667,6223
362,58559,3.0,1270902194,0,361,7541
232,65225,4.5,1291243618,1,231,7843
668,7253,3.0,1403149163,0,667,5208
71,457,4.5,1063749167,1,70,401
623,236,4.0,836686246,1,622,205
15,2395,5.0,1447478441,1,14,1895
475,71156,3.0,1305364020,0,474,8089
626,307,3.0,1258661956,0,625,267
160,1944,5.0,902695008,1,159,1501
607,4310,2.0,991167263,0,606,3355
399,2288,5.0,945152578,1,398,1800
364,104,4.0,1111636976,1,363,94
403,34323,0.5,1222302840,0,402,6575
414,3686,2.0,1032191038,0,413,2891
633,5501,2.5,1135140747,0,632,4167
300,2407,4.0,942967728,1,299,1906
399,778,4.0,945152075,1,398,639
269,552,3.0,1293104734,0,268,491
555,316,4.0,875312998,1,554,274
452,2109,3.5,1290764806,0,451,1659
122,4306,5.0,1024806408,1,121,3352
461,456,4.5,1217047282,1,460,400
114,4015,1.0,1452132300,0,113,3142
252,4036,4.0,1048128192,1,251,3162
668,44947,2.0,1236137056,0,667,6873
575,3686,3.0,959176431,0,574,2891
428,4238,4.0,1105416280,1,427,3304
532,54001,5.0,1440349909,1,531,7299
267,1258,5.0,968989617,1,266,1010
575,248,3.0,939889416,0,574,215
534,50,5.0,916849793,1,533,47
192,3157,1.0,1002211604,0,191,2510
206,79091,3.0,1437519699,0,205,8472
179,2470,2.0,1077163005,0,178,1965
476,1206,3.0,1267549004,0,475,960
294,4571,4.0,1001987206,1,293,3544
458,2303,4.0,938853072,1,457,1812
425,1047,3.5,1077442796,0,424,845
601,1245,4.0,938943523,1,600,997
282,2599,4.0,959208126,1,281,2066
113,81845,4.0,1427733074,1,112,8619
292,2006,2.5,1190270629,0,291,1560
174,2997,4.0,1276571108,1,173,2381
113,4361,4.0,1209264579,1,112,3391
484,1196,5.0,1308768712,1,483,951
460,1721,4.0,1130277619,1,459,1359
354,420,1.0,1017843516,0,353,365
489,3176,1.0,971348423,0,488,2525
38,5501,2.5,1423963828,0,37,4167
88,6862,3.0,1078347007,0,87,4943
72,1485,4.0,877800860,1,71,1194
224,103659,4.5,1425242484,1,223,9543
542,27402,2.5,1303683896,0,541,6222
484,2371,4.0,1308770339,1,483,1872
344,4637,2.0,1079416696,0,343,3598
349,185,1.0,834661038,0,348,160
61,1810,3.0,1059070510,0,60,1408
179,1041,2.5,1056710727,0,178,840
194,4022,4.0,1364056260,1,193,3149
575,2640,3.0,939927286,0,574,2096
659,8949,2.5,1394645699,0,658,5800
413,3408,4.0,1448283348,1,412,2685
560,5500,4.5,1067535964,1,559,4166
451,5816,3.5,1130471551,0,450,4338
218,235,5.0,1255807194,1,217,204
309,4161,4.0,1293923524,1,308,3251
602,1200,4.5,1105452622,1,601,955
575,7084,4.0,1070759228,1,574,5103
192,2453,4.0,1014419818,1,191,1950
264,153,3.0,847927832,0,263,129
140,1366,2.0,854440253,0,139,1101
546,588,4.0,1036014702,1,545,516
562,1580,4.0,953422087,1,561,1252
461,442,2.5,1193031291,0,460,386
605,1148,4.0,954087332,1,604,918
569,1997,4.5,1245981675,1,568,1551
475,5903,3.0,1305326718,0,474,4388
668,6953,4.0,1084669092,1,667,4996
164,96691,5.0,1440812531,1,163,9268
63,836,3.0,1299481069,0,62,675
587,344,4.0,846184011,1,586,301
328,7147,2.5,1234071520,0,327,5143
186,318,4.0,848980029,1,185,276
668,8887,1.5,1139550814,0,667,5773
267,356,3.0,968988508,0,266,313
546,3404,5.0,1036014441,1,545,2682
475,32567,2.0,1404601001,0,474,6457
268,1185,3.0,1227220591,0,267,941
448,1291,3.5,1439501316,0,447,1043
232,68237,4.0,1299111825,1,231,7953
593,4033,4.0,998924897,1,592,3159
22,2712,3.0,1111576361,0,21,2156
216,1203,3.0,1025570784,0,215,958
668,8638,2.0,1131253118,0,667,5657
198,1913,4.0,958689083,1,197,1476
541,1573,3.0,1004507552,0,540,1251
48,2115,2.0,1081162512,0,47,1665
668,7137,1.0,1108090937,0,667,5140
413,89837,4.5,1422966732,1,412,8965
413,3157,3.0,1309762194,0,412,2510
128,81,3.0,1420263100,0,127,74
575,63082,4.0,1231171129,1,574,7782
422,6520,3.0,1063336892,0,421,4737
354,765,2.0,1017931215,0,353,635
668,59721,2.0,1221193852,0,667,7607
128,7570,3.0,1262758728,0,127,5339
299,8784,5.0,1292043360,1,298,5723
575,2384,3.0,1160607763,0,574,1885
434,1954,4.0,1241491269,1,433,1511
330,3448,5.0,1022545457,1,329,2721
143,266,5.0,841221948,1,142,232
460,2916,4.0,1130272322,1,459,2314
182,2330,3.5,1102377885,0,181,1834
620,1370,2.0,1024538773,0,619,1103
668,100579,0.5,1361140906,0,667,9427
668,88566,3.0,1334982541,0,667,8898
130,3033,1.0,941900170,0,129,2407
310,1385,2.0,1150014213,0,309,1116
160,1233,5.0,901155077,1,159,986
375,916,5.0,1046188783,1,374,731
354,5437,2.0,1024075903,0,353,4121
435,2355,4.0,974423216,1,434,1856
485,3705,3.0,1059649525,0,484,2908
392,4226,3.0,1281451966,0,391,3295
239,471,4.0,841756549,1,238,414
213,35836,4.5,1129880786,1,212,6607
362,5903,2.5,1270903164,0,361,4388
479,27790,5.0,1445792453,1,478,6278
354,1265,5.0,965328915,1,353,1017
475,99910,3.0,1363457178,0,474,9394
650,1073,5.0,965516048,1,649,865
192,4085,4.0,1002135047,1,191,3193
637,3429,5.0,983919755,1,636,2702
3,150,4.0,841483462,1,2,126
224,116797,5.0,1428042643,1,223,9897
527,344,4.0,838823369,1,526,301
63,69131,3.5,1299773645,0,62,7993
128,54771,3.0,1277397614,0,127,7331
443,1256,5.0,915219408,1,442,1008
376,1200,1.0,942189649,0,375,955
300,2574,3.0,942964689,0,299,2048
662,1503,3.0,945175458,0,661,1208
19,91077,4.0,1442283167,1,18,9036
592,18,4.0,1447971959,1,591,17
605,144,3.0,955376077,0,604,121
224,51255,4.0,1359000120,1,223,7170
627,2792,2.0,1238076223,0,626,2221
402,3257,2.0,1172477510,0,401,2579
650,1682,5.0,965515529,1,649,1335
458,150,4.0,1142187903,1,457,126
597,2759,3.0,965155548,0,596,2194
